URL,Description,Validity,Last Updated
https://cloudconnectpartner.freshdesk.com/support/home,Support Portal,True,15:00:30
https://iqmap.cloudconnect.net,IQMAP Login,True,15:00:30
https://citrix.cloudconnect.net/vpn/index.html,Desktop Login,True,15:00:30
https://blog.cloudconnect.net/,CloudConnect Blog,True,15:00:33
https://cloudconnectpartner.freshdesk.com/support/home,Support Portal,True,15:00:33
https://citrix.cloudconnect.net/vpn/index.html,,True,15:00:33
https://dds.cloudconnect.net/Citrix/DesktopWeb/clientDetection/downloadNative.aspx,,True,15:00:33
https://cloudconnect.net/platform/resources,The Resources You Need,True,15:00:33
https://cloudconnect.net/platform/the-hosted-solution-for-business,The Hosted Solution for Business,True,15:00:34
https://cloudconnect.net/platform/performance,Performance,True,15:00:34
https://cloudconnect.net/platform/best-of-both-worlds,Best of Both Worlds,True,15:00:35
https://cloudconnect.net/platform/use-or-build,Use or Build?,True,15:00:35
https://cloudconnect.net/solutions,,True,15:00:36
https://www.facebook.com/CloudConnect-229287883752491/,,True,15:00:36
https://www.linkedin.com/company/cloudconnect,,False,15:00:36
https://twitter.com/goCloudConnect,,True,15:00:37
